 Week , The Very Busy Spider's Forest Friends: a Touch-And-Feel Book 9780593659144 , I Love Grandma With the Very Hungry Caterpillar 9780593523155 , The Very Hungry Caterpillar Loves [your Name Here]!: a Personalized Story Book 9780593661055 , The Very Hungry Caterpillar's Peekaboo Easter 9780593750179 , Bear Hugs! from Brown Bear and Friends (World of Eric Carle) 9781250891426 , I Love Grandpa With the Very Hungry Caterpillar 9780593523162 , The Very Hungry Caterpillar's Rainbow Colors 9780593659168 , Bear Hugs! from Brown Bear and Friends (World of Eric Carle) Oversize Edition 9781250892782 , The Very Hungry Caterpillar's Garden Friends: a Touch-And-Feel Book 9780593523797 , Spring Sings For the Grouchy Ladybug 9780062985712 
Jul 21 2024 - Jul 27 2024,577,178,33,2,70,90,736,0,78,5
Jul 14 2024 - Jul 20 2024,528,208,46,6,69,73,797,4,79,8
Jul 07 2024 - Jul 13 2024,713,195,36,5,89,86,"1,049",-1,78,10
Jun 30 2024 - Jul 06 2024,492,115,22,2,94,62,924,2,70,-1
Jun 23 2024 - Jun 29 2024,688,205,35,0,106,122,"1,277",9,80,10
Jun 16 2024 - Jun 22 2024,556,232,42,6,69,574,989,4,94,13
Jun 09 2024 - Jun 15 2024,588,319,20,0,60,"4,036",933,5,82,19
Jun 02 2024 - Jun 08 2024,633,186,11,1,88,"2,063",901,11,92,33
May 26 2024 - Jun 01 2024,688,190,23,0,97,"1,638",978,6,125,12
May 19 2024 - May 25 2024,510,233,33,1,95,"1,477",845,6,117,26
May 12 2024 - May 18 2024,481,683,24,-1,107,947,952,7,112,46
May 05 2024 - May 11 2024,327,"3,516",39,4,79,167,802,8,117,62
Apr 28 2024 - May 04 2024,375,"2,437",34,7,88,117,746,4,149,103
Apr 21 2024 - Apr 27 2024,518,"1,650",28,3,101,107,889,6,182,141
Apr 14 2024 - Apr 20 2024,432,"1,533",33,-5,111,90,941,6,169,186
Apr 07 2024 - Apr 13 2024,622,"1,695",63,97,122,76,850,6,186,375
Mar 31 2024 - Apr 06 2024,437,"1,027",39,840,111,70,328,14,233,391
Mar 24 2024 - Mar 30 2024,"1,182",280,70,"11,189",144,102,422,19,364,916
Mar 17 2024 - Mar 23 2024,822,148,71,"6,150",177,72,362,31,377,648
Mar 10 2024 - Mar 16 2024,929,124,60,"4,570",162,57,306,22,210,559
Mar 03 2024 - Mar 09 2024,"1,280",164,68,"3,863",177,103,273,60,175,581
Feb 25 2024 - Mar 02 2024,604,169,80,"2,988",171,101,281,247,143,638
Feb 18 2024 - Feb 24 2024,665,241,274,"2,221",277,205,313,781,165,342
Feb 11 2024 - Feb 17 2024,908,"1,386","3,659",953,"2,488","1,087",274,"2,536",86,53
Feb 04 2024 - Feb 10 2024,869,"1,173","6,252",233,"4,008",832,226,"3,246",80,30
